,Tag,Name,Keyword,VR,VM,Unnamed: 5
174,"(0008,2204)",Transducer Orientation,TransducerOrientation,CS,1,RET (1993)
175,"(0008,2208)",Anatomic Structure,AnatomicStructure,CS,1,RET (1993)
176,"(0008,2218)",Anatomic Region Sequence,AnatomicRegionSequence,SQ,1,
177,"(0008,2220)",Anatomic Region Modifier Sequence,AnatomicRegionModifierSequence,SQ,1,
178,"(0008,2228)",Primary Anatomic Structure Sequence,PrimaryAnatomicStructureSequence,SQ,1,
179,"(0008,2229)","Anatomic Structure, Space or Region Sequence",AnatomicStructureSpaceOrRegionSequence,SQ,1,RET (2017c)
180,"(0008,2230)",Primary Anatomic Structure Modifier Sequence,PrimaryAnatomicStructureModifierSequence,SQ,1,
181,"(0008,2240)",Transducer Position Sequence,TransducerPositionSequence,SQ,1,RET (2004)
182,"(0008,2242)",Transducer Position Modifier Sequence,TransducerPositionModifierSequence,SQ,1,RET (2004)
183,"(0008,2244)",Transducer Orientation Sequence,TransducerOrientationSequence,SQ,1,RET (2004)
184,"(0008,2246)",Transducer Orientation Modifier Sequence,TransducerOrientationModifierSequence,SQ,1,RET (2004)
185,"(0008,2251)",Anatomic Structure Space Or Region Code Sequence (Trial),AnatomicStructureSpaceOrRegionCodeSequenceTrial,SQ,1,RET (2007)
186,"(0008,2253)",Anatomic Portal Of Entrance Code Sequence (Trial),AnatomicPortalOfEntranceCodeSequenceTrial,SQ,1,RET (2007)
187,"(0008,2255)",Anatomic Approach Direction Code Sequence (Trial),AnatomicApproachDirectionCodeSequenceTrial,SQ,1,RET (2007)
188,"(0008,2256)",Anatomic Perspective Description (Trial),AnatomicPerspectiveDescriptionTrial,ST,1,RET (2007)
189,"(0008,2257)",Anatomic Perspective Code Sequence (Trial),AnatomicPerspectiveCodeSequenceTrial,SQ,1,RET (2007)
190,"(0008,2258)",Anatomic Location Of Examining Instrument Description (Trial),AnatomicLocationOfExaminingInstrumentDescriptionTrial,ST,1,RET (2007)
191,"(0008,2259)",Anatomic Location Of Examining Instrument Code Sequence (Trial),AnatomicLocationOfExaminingInstrumentCodeSequenceTrial,SQ,1,RET (2007)
192,"(0008,225A)",Anatomic Structure Space Or Region Modifier Code Sequence (Trial),AnatomicStructureSpaceOrRegionModifierCodeSequenceTrial,SQ,1,RET (2007)
193,"(0008,225C)",On Axis Background Anatomic Structure Code Sequence (Trial),OnAxisBackgroundAnatomicStructureCodeSequenceTrial,SQ,1,RET (2007)
194,"(0008,3001)",Alternate Representation Sequence,AlternateRepresentationSequence,SQ,1,
195,"(0008,3002)",Available Transfer Syntax UID,AvailableTransferSyntaxUID,UI,1-n,
196,"(0008,3010)",Irradiation Event UID,IrradiationEventUID,UI,1-n,
197,"(0008,3011)",Source Irradiation Event Sequence,SourceIrradiationEventSequence,SQ,1,
198,"(0008,3012)",Radiopharmaceutical Administration Event UID,RadiopharmaceuticalAdministrationEventUID,UI,1,
199,"(0008,4000)",Identifying Comments,IdentifyingComments,LT,1,RET
200,"(0008,9007)",Frame Type,FrameType,CS,4,
201,"(0008,9092)",Referenced Image Evidence Sequence,ReferencedImageEvidenceSequence,SQ,1,
202,"(0008,9121)",Referenced Raw Data Sequence,ReferencedRawDataSequence,SQ,1,
203,"(0008,9123)",Creator-Version UID,CreatorVersionUID,UI,1,
204,"(0008,9124)",Derivation Image Sequence,DerivationImageSequence,SQ,1,
205,"(0008,9154)",Source Image Evidence Sequence,SourceImageEvidenceSequence,SQ,1,
206,"(0008,9205)",Pixel Presentation,PixelPresentation,CS,1,
207,"(0008,9206)",Volumetric Properties,VolumetricProperties,CS,1,
208,"(0008,9207)",Volume Based Calculation Technique,VolumeBasedCalculationTechnique,CS,1,
209,"(0008,9208)",Complex Image Component,ComplexImageComponent,CS,1,
210,"(0008,9209)",Acquisition Contrast,AcquisitionContrast,CS,1,
211,"(0008,9215)",Derivation Code Sequence,DerivationCodeSequence,SQ,1,
212,"(0008,9237)",Referenced Presentation State Sequence,ReferencedPresentationStateSequence,SQ,1,
213,"(0008,9410)",Referenced Other Plane Sequence,ReferencedOtherPlaneSequence,SQ,1,
214,"(0008,9458)",Frame Display Sequence,FrameDisplaySequence,SQ,1,
215,"(0008,9459)",Recommended Display Frame Rate in Float,RecommendedDisplayFrameRateInFloat,FL,1,
216,"(0008,9460)",Skip Frame Range Flag,SkipFrameRangeFlag,CS,1,
217,"(0010,0010)",Patient's Name,PatientName,PN,1,
218,"(0010,0020)",Patient ID,PatientID,LO,1,
219,"(0010,0021)",Issuer of Patient ID,IssuerOfPatientID,LO,1,
220,"(0010,0022)",Type of Patient ID,TypeOfPatientID,CS,1,
221,"(0010,0024)",Issuer of Patient ID Qualifiers Sequence,IssuerOfPatientIDQualifiersSequence,SQ,1,
222,"(0010,0026)",Source Patient Group Identification Sequence,SourcePatientGroupIdentificationSequence,SQ,1,
223,"(0010,0027)",Group of Patients Identification Sequence,GroupOfPatientsIdentificationSequence,SQ,1,
224,"(0010,0028)",Subject Relative Position in Image,SubjectRelativePositionInImage,US,3,
225,"(0010,0030)",Patient's Birth Date,PatientBirthDate,DA,1,
226,"(0010,0032)",Patient's Birth Time,PatientBirthTime,TM,1,
227,"(0010,0033)",Patient's Birth Date in Alternative Calendar,PatientBirthDateInAlternativeCalendar,LO,1,
228,"(0010,0034)",Patient's Death Date in Alternative Calendar,PatientDeathDateInAlternativeCalendar,LO,1,
229,"(0010,0035)",Patient's Alternative Calendar,PatientAlternativeCalendar,CS,1,
230,"(0010,0040)",Patient's Sex,PatientSex,CS,1,
231,"(0010,0050)",Patient's Insurance Plan Code Sequence,PatientInsurancePlanCodeSequence,SQ,1,
232,"(0010,0101)",Patient's Primary Language Code Sequence,PatientPrimaryLanguageCodeSequence,SQ,1,
233,"(0010,0102)",Patient's Primary Language Modifier Code Sequence,PatientPrimaryLanguageModifierCodeSequence,SQ,1,
234,"(0010,0200)",Quality Control Subject,QualityControlSubject,CS,1,
235,"(0010,0201)",Quality Control Subject Type Code Sequence,QualityControlSubjectTypeCodeSequence,SQ,1,
236,"(0010,0212)",Strain Description,StrainDescription,UC,1,
237,"(0010,0213)",Strain Nomenclature,StrainNomenclature,LO,1,
238,"(0010,0214)",Strain Stock Number,StrainStockNumber,LO,1,
239,"(0010,0215)",Strain Source Registry Code Sequence,StrainSourceRegistryCodeSequence,SQ,1,
240,"(0010,0216)",Strain Stock Sequence,StrainStockSequence,SQ,1,
241,"(0010,0217)",Strain Source,StrainSource,LO,1,
242,"(0010,0218)",Strain Additional Information,StrainAdditionalInformation,UT,1,
243,"(0010,0219)",Strain Code Sequence,StrainCodeSequence,SQ,1,
244,"(0010,0221)",Genetic Modifications Sequence,GeneticModificationsSequence,SQ,1,
245,"(0010,0222)",Genetic Modifications Description,GeneticModificationsDescription,UC,1,
246,"(0010,0223)",Genetic Modifications Nomenclature,GeneticModificationsNomenclature,LO,1,
247,"(0010,0229)",Genetic Modifications Code Sequence,GeneticModificationsCodeSequence,SQ,1,
248,"(0010,1000)",Other Patient IDs,OtherPatientIDs,LO,1-n,RET (2017a)
249,"(0010,1001)",Other Patient Names,OtherPatientNames,PN,1-n,
250,"(0010,1002)",Other Patient IDs Sequence,OtherPatientIDsSequence,SQ,1,
251,"(0010,1005)",Patient's Birth Name,PatientBirthName,PN,1,
252,"(0010,1010)",Patient's Age,PatientAge,AS,1,
253,"(0010,1020)",Patient's Size,PatientSize,DS,1,
254,"(0010,1021)",Patient's Size Code Sequence,PatientSizeCodeSequence,SQ,1,
255,"(0010,1022)",Patient's Body Mass Index,PatientBodyMassIndex,DS,1,
256,"(0010,1023)",Measured AP Dimension,MeasuredAPDimension,DS,1,
257,"(0010,1024)",Measured Lateral Dimension,MeasuredLateralDimension,DS,1,
258,"(0010,1030)",Patient's Weight,PatientWeight,DS,1,
259,"(0010,1040)",Patient's Address,PatientAddress,LO,1,
260,"(0010,1050)",Insurance Plan Identification,InsurancePlanIdentification,LO,1-n,RET
261,"(0010,1060)",Patient's Mother's Birth Name,PatientMotherBirthName,PN,1,
262,"(0010,1080)",Military Rank,MilitaryRank,LO,1,
263,"(0010,1081)",Branch of Service,BranchOfService,LO,1,
264,"(0010,1090)",Medical Record Locator,MedicalRecordLocator,LO,1,RET (2017a)
265,"(0010,1100)",Referenced Patient Photo Sequence,ReferencedPatientPhotoSequence,SQ,1,
266,"(0010,2000)",Medical Alerts,MedicalAlerts,LO,1-n,
267,"(0010,2110)",Allergies,Allergies,LO,1-n,
268,"(0010,2150)",Country of Residence,CountryOfResidence,LO,1,
269,"(0010,2152)",Region of Residence,RegionOfResidence,LO,1,
270,"(0010,2154)",Patient's Telephone Numbers,PatientTelephoneNumbers,SH,1-n,
271,"(0010,2155)",Patient's Telecom Information,PatientTelecomInformation,LT,1,
272,"(0010,2160)",Ethnic Group,EthnicGroup,SH,1,
273,"(0010,2180)",Occupation,Occupation,SH,1,
274,"(0010,21A0)",Smoking Status,SmokingStatus,CS,1,
275,"(0010,21B0)",Additional Patient History,AdditionalPatientHistory,LT,1,
276,"(0010,21C0)",Pregnancy Status,PregnancyStatus,US,1,
277,"(0010,21D0)",Last Menstrual Date,LastMenstrualDate,DA,1,
278,"(0010,21F0)",Patient's Religious Preference,PatientReligiousPreference,LO,1,
279,"(0010,2201)",Patient Species Description,PatientSpeciesDescription,LO,1,
280,"(0010,2202)",Patient Species Code Sequence,PatientSpeciesCodeSequence,SQ,1,
281,"(0010,2203)",Patient's Sex Neutered,PatientSexNeutered,CS,1,
282,"(0010,2210)",Anatomical Orientation Type,AnatomicalOrientationType,CS,1,
283,"(0010,2292)",Patient Breed Description,PatientBreedDescription,LO,1,
284,"(0010,2293)",Patient Breed Code Sequence,PatientBreedCodeSequence,SQ,1,
285,"(0010,2294)",Breed Registration Sequence,BreedRegistrationSequence,SQ,1,
286,"(0010,2295)",Breed Registration Number,BreedRegistrationNumber,LO,1,
287,"(0010,2296)",Breed Registry Code Sequence,BreedRegistryCodeSequence,SQ,1,
288,"(0010,2297)",Responsible Person,ResponsiblePerson,PN,1,
289,"(0010,2298)",Responsible Person Role,ResponsiblePersonRole,CS,1,
290,"(0010,2299)",Responsible Organization,ResponsibleOrganization,LO,1,
291,"(0010,4000)",Patient Comments,PatientComments,LT,1,
292,"(0010,9431)",Examined Body Thickness,ExaminedBodyThickness,FL,1,
293,"(0012,0010)",Clinical Trial Sponsor Name,ClinicalTrialSponsorName,LO,1,
294,"(0012,0020)",Clinical Trial Protocol ID,ClinicalTrialProtocolID,LO,1,
295,"(0012,0021)",Clinical Trial Protocol Name,ClinicalTrialProtocolName,LO,1,
296,"(0012,0030)",Clinical Trial Site ID,ClinicalTrialSiteID,LO,1,
297,"(0012,0031)",Clinical Trial Site Name,ClinicalTrialSiteName,LO,1,
298,"(0012,0040)",Clinical Trial Subject ID,ClinicalTrialSubjectID,LO,1,
299,"(0012,0042)",Clinical Trial Subject Reading ID,ClinicalTrialSubjectReadingID,LO,1,
300,"(0012,0050)",Clinical Trial Time Point ID,ClinicalTrialTimePointID,LO,1,
301,"(0012,0051)",Clinical Trial Time Point Description,ClinicalTrialTimePointDescription,ST,1,
302,"(0012,0052)",Longitudinal Temporal Offset from Event,LongitudinalTemporalOffsetFromEvent,FD,1,
303,"(0012,0053)",Longitudinal Temporal Event Type,LongitudinalTemporalEventType,CS,1,
304,"(0012,0060)",Clinical Trial Coordinating Center Name,ClinicalTrialCoordinatingCenterName,LO,1,
305,"(0012,0062)",Patient Identity Removed,PatientIdentityRemoved,CS,1,
306,"(0012,0063)",De-identification Method,DeidentificationMethod,LO,1-n,
307,"(0012,0064)",De-identification Method Code Sequence,DeidentificationMethodCodeSequence,SQ,1,
308,"(0012,0071)",Clinical Trial Series ID,ClinicalTrialSeriesID,LO,1,
309,"(0012,0072)",Clinical Trial Series Description,ClinicalTrialSeriesDescription,LO,1,
310,"(0012,0081)",Clinical Trial Protocol Ethics Committee Name,ClinicalTrialProtocolEthicsCommitteeName,LO,1,
311,"(0012,0082)",Clinical Trial Protocol Ethics Committee Approval Number,ClinicalTrialProtocolEthicsCommitteeApprovalNumber,LO,1,
312,"(0012,0083)",Consent for Clinical Trial Use Sequence,ConsentForClinicalTrialUseSequence,SQ,1,
313,"(0012,0084)",Distribution Type,DistributionType,CS,1,
314,"(0012,0085)",Consent for Distribution Flag,ConsentForDistributionFlag,CS,1,
315,"(0012,0086)",Ethics Committee Approval Effectiveness Start Date,EthicsCommitteeApprovalEffectivenessStartDate,DA,1,
316,"(0012,0087)",Ethics Committee Approval Effectiveness End Date,EthicsCommitteeApprovalEffectivenessEndDate,DA,1,
317,"(0014,0023)",CAD File Format,CADFileFormat,ST,1,RET (2011)
318,"(0014,0024)",Component Reference System,ComponentReferenceSystem,ST,1,RET (2011)
319,"(0014,0025)",Component Manufacturing Procedure,ComponentManufacturingProcedure,ST,1,DICONDE
320,"(0014,0028)",Component Manufacturer,ComponentManufacturer,ST,1,DICONDE
321,"(0014,0030)",Material Thickness,MaterialThickness,DS,1-n,DICONDE
322,"(0014,0032)",Material Pipe Diameter,MaterialPipeDiameter,DS,1-n,DICONDE
323,"(0014,0034)",Material Isolation Diameter,MaterialIsolationDiameter,DS,1-n,DICONDE
324,"(0014,0042)",Material Grade,MaterialGrade,ST,1,DICONDE
325,"(0014,0044)",Material Properties Description,MaterialPropertiesDescription,ST,1,DICONDE
326,"(0014,0045)",Material Properties File Format (Retired),MaterialPropertiesFileFormatRetired,ST,1,RET (2011)
327,"(0014,0046)",Material Notes,MaterialNotes,LT,1,DICONDE
328,"(0014,0050)",Component Shape,ComponentShape,CS,1,DICONDE
329,"(0014,0052)",Curvature Type,CurvatureType,CS,1,DICONDE
330,"(0014,0054)",Outer Diameter,OuterDiameter,DS,1,DICONDE
331,"(0014,0056)",Inner Diameter,InnerDiameter,DS,1,DICONDE
332,"(0014,0100)",Component Welder IDs,ComponentWelderIDs,LO,1-n,DICONDE
333,"(0014,0101)",Secondary Approval Status,SecondaryApprovalStatus,CS,1,DICONDE
334,"(0014,0102)",Secondary Review Date,SecondaryReviewDate,DA,1,DICONDE
335,"(0014,0103)",Secondary Review Time,SecondaryReviewTime,TM,1,DICONDE
